NOC,Predicted Medal,Predicted Gold,Average Loss
COL,5.712869704,0.785603195,0.076059755
COL,6.641214967,0.711643383,0.103465809
LBN,0.07328365,0.032970339,0.010375337
LBN,0.222837105,0.222837105,0.01792627
QAT,4.266104579,2.571300745,0.042589427
QAT,2.926605463,1.745651841,0.062963417
KOR,30.35981369,11.36909634,0.22317334
KOR,28.62035233,11.91180933,0.142997691
AUT,3.469069704,0.663235188,0.025759326
AUT,4.604309708,0.657040179,0.024927042
PUR,1.612456083,1.515112877,0.081781649
PUR,1.222883821,1.137351036,0.068503347
JPN,47.18629038,15.23370856,0.075592472
JPN,45.25616014,13.91911179,0.053500346
CPV,0,0,0.00266568
CPV,0.254193127,0.254193127,0.002573662
UGA,3.963824749,1.821262598,0.061728972
UGA,4.057760239,1.564218879,0.081275131
SRB,12.25860608,3.785185933,0.095432257
SRB,11.89062738,4.280694008,0.030799229
GBR,69.17788601,22.96885526,0.019786232
GBR,60.28555632,25.47131485,0.033864009
DMA,0,0,0.002369467
DMA,0.085916251,0,0.005648865
ARG,4.941833735,1.364551574,0.102961724
ARG,4.771014988,1.483669549,0.113974974
FIJ,3.088139057,1.555767179,0.057762775
FIJ,2.73523736,1.335703611,0.057262398
IRI,6.464083284,3.471513033,0.056278503
IRI,10.1849578,4.088201463,0.077306798
PAK,0.399269909,0,0.012532622
PAK,0.044911444,0.007712094,0.028996764
SLO,4.256840646,3.034258246,0.064062638
SLO,4.431641698,2.518209636,0.077015741
GER,54.03315449,15.11590165,0.077173648
GER,52.0294106,17.36939812,0.095626981
BOT,0.981650352,0.014223453,0.016229031
BOT,0.975189626,0,0.013765452
GRN,1.323550582,0.066071749,0.053753145
GRN,0.81560725,0.034231208,0.06006326
BEL,5.216975391,2.051527053,0.005142997
BEL,6.251153111,2.821218193,0.003914476
ETH,3.402906895,0,0.111446386
ETH,5.59544754,0.265391648,0.085867817
EST,1.096687794,1.096687794,0.05264253
EST,1.452407002,1.452407002,0.044789363
IOA,0.378014386,0.224837676,0.062551077
IOA,0.312657654,0.312657654,0.095443605
NAM,0.785363436,0.07863427,0.038854637
NAM,0.941423178,0.156313494,0.06741803
POR,3.249022961,0.919612944,0.106868005
POR,3.905610085,0.630217493,0.124190335
FRA,40.3904404,12.61412108,0.014927397
FRA,47.09794992,11.75738382,0.018549951
SVK,3.815902591,1.368976951,0.038905012
