NOC,Predicted Medal,Predicted Gold,Average Loss
KSA,0.8768805861473083,0.0,0.041076485440135
KSA,0.5745715498924255,0.0,0.04908091206103563
JAM,9.993609130382538,4.0019413232803345,0.04072692431509495
JAM,13.179767608642578,1.861980378627777,0.046718038208782675
USA,128.7205696105957,55.282522439956665,0.02577883204445243
USA,126.74466866254807,51.34358322620392,0.0493247934198007
UKR,20.651872396469116,2.263683021068573,0.17906558707356454
UKR,17.32662546634674,3.3601518273353577,0.19454337537288666
BUR,1.1269527673721313,0.0,0.027876092195510863
BUR,0.8686815500259399,0.0,0.051733387410640715
LBN,0.1880284696817398,0.0,0.002208391861495329
LBN,0.07316451519727707,0.07316451519727707,0.005643368898308836
LTU,1.0970941185951233,0.33977240324020386,0.19621091097593307
LTU,1.0153242200613022,0.0,0.11300345376133919
GAB,0.0,0.0,0.03227017253637314
GAB,0.15883474051952362,0.0,0.045197501070797445
MRI,0.20559322834014893,0.20559322834014893,0.06450136110186577
MRI,0.17129386961460114,0.17129386961460114,0.03595414321869612
ROT,0.1754695177078247,0.14184850454330444,0.0038539122269139626
ROT,0.0583396852016449,0.0,0.020273197670758237
ALB,0.09921369701623917,0.0,0.002515699071227573
ALB,0.0016896268352866173,0.0016896268352866173,0.011551602047402411
MKD,1.0129441022872925,0.10729046165943146,0.05984611365944147
MKD,1.123303771018982,0.03597288578748703,0.04709485154598951
GER,60.00927710533142,16.226110458374023,0.085240825638175
GER,50.06122124195099,17.524804949760437,0.08669281408190727
KAZ,12.005388915538788,0.0,0.09000683344900608
KAZ,12.732895851135254,0.0,0.10611305542290211
NAM,0.9190456867218018,0.0,0.03802761472761631
NAM,1.5067275762557983,0.0850663036108017,0.059239754527807234
SGP,0.14276617765426636,0.014575888402760029,0.0677136880904436
SGP,0.6662645936012268,0.38197213411331177,0.07897519059479237
PHI,5.863937854766846,1.46939218044281,0.026788711715489626
PHI,4.151082992553711,0.6550873517990112,0.047439737692475316
IRI,10.181960642337799,3.184593915939331,0.06243316031992435
IRI,7.110527992248535,1.34304778277874,0.05414778884500265
HUN,19.43694519996643,8.584951400756836,0.05846932921558619
HUN,16.282086610794067,8.170833587646484,0.04853293839842081
BEL,7.023151874542236,1.6377744674682617,0.00541682390961796
BEL,5.941466867923737,2.0713921189308167,0.003525378513149917
DMA,0.0,0.0,0.002952859439246822
DMA,0.039260514080524445,0.039260514080524445,0.0022469002389698288
PAK,0.6269069314002991,0.0,0.008089010720141232
PAK,0.33183762431144714,0.0,0.008496960229240357
CHN,102.50818729400635,46.10896396636963,0.0638784696534276
CHN,94.2776620388031,45.2585506439209,0.10846743680536747
NZL,16.796023845672607,5.457100868225098,0.06940772607922555
NZL,17.541956901550293,5.768378973007202,0.05241479873657227
SRI,0.2059517651796341,0.2059517651796341,0.0382094531133771
SRI,0.0,0.0,0.03810641560703516
BUL,2.5794629603624344,0.0,0.06141931675374508
BUL,0.0,0.0,0.06084043085575104
CYP,0.0,0.0,0.04022788506001234
CYP,0.0,0.0,0.046748256422579286
SAM,0.0938778966665268,0.0938778966665268,0.03601837359368801
SAM,0.0,0.0,0.050023064389824866
GBR,60.047595024108894,23.666243463754654,0.028916096426546575
GBR,61.72891092300416,24.17961499094963,0.02490682227537036
BRN,2.910583734512329,0.0,0.02342371833510697
BRN,0.37973591685295105,0.0,0.019948518108576535
COL,6.577870309352875,0.0,0.0505616307258606
COL,6.720883011817932,0.4994695633649826,0.06533660024404525
EST,1.4386578649282455,0.7172479033470154,0.05091910414397716
EST,2.5498194992542267,0.41604962944984436,0.03752125918865204
KEN,11.98317813873291,4.915249586105347,0.06345277659595012
KEN,9.93502140045166,3.2456663846969604,0.08855770438909531
UZB,4.176084458827972,3.784607410430908,0.03136419527232647
UZB,6.758016109466553,1.835644006729126,0.0645621983334422
ITA,36.12682580947876,11.144293785095215,0.06993147503584624
ITA,35.02504825592041,11.734203815460205,0.1232332356646657
RUS,30.48719733953476,5.135427951812744,0.16110363930463792
RUS,21.621670424938202,8.340357780456543,0.17813614889979362
NIG,0.1695728600025177,0.016519848257303238,0.03467820469290018
NIG,0.19347241520881653,0.0,0.03517712485045195
URU,0.1672133207321167,0.1672133207321167,0.021787986000999807
URU,0.12145472317934036,0.054362885653972626,0.02414624175988138
VEN,5.367209434509277,0.42379194498062134,0.051891734153032304
VEN,5.357454299926758,1.131515383720398,0.06385968632996082
CAN,23.82931113243103,4.850070774555206,0.027669733241200447
CAN,23.016809940338135,4.7958457469940186,0.026520523987710477
TPE,12.05179738998413,1.8948653936386108,0.06020625241100788
TPE,9.750865459442139,1.5400617122650146,0.0693077077716589
GEO,9.134654998779297,1.9409226179122925,0.07788554478436709
GEO,5.581266403198242,2.377704441547394,0.041940346173942086
DEN,11.286847591400146,2.5803211331367493,0.04967765260487795
DEN,13.005588054656982,2.3186151683330536,0.02895450472831726
ESP,22.25352716445923,5.593560189008713,0.12141517281532288
ESP,21.336572885513306,4.555684685707092,0.11037924125790596
ROC,99.22044599056244,34.36596393585205,0.037309052534401414
ROC,52.72336596250534,13.864426612854004,0.09065300211310387
CRO,9.739814400672913,4.381091892719269,0.09011297527700662
CRO,11.185985803604126,5.074954032897949,0.060076557137072086
LCA,0.03297141194343567,0.0,0.00752096413372783
LCA,0.5055620074272156,0.0,0.008776080003008247
CHI,0.031427375972270966,0.031427375972270966,0.060625357925891875
CHI,0.0,0.0,0.07961146786808967
AFG,0.0,0.0,0.05025321632623672
AFG,0.0,0.0,0.04140769418329
SVK,5.003188848495483,0.470940962433815,0.08451722659170628
